date,Conventional Oil,Non-Conventional Oil
2007-01-01,2707743.4,5604533.2
2007-02-01,2450594.2,5414892.8
2007-03-01,2703836.8,6082110.5
2007-04-01,2567241.4,5463210.8
2007-05-01,2614545.2,5460600.2
2007-06-01,2493203.4,5116667.3
2007-07-01,2587857.9,5897322.8
2007-08-01,2625063.6,6563190.2
2007-09-01,2542775.1,5958279.5
2007-10-01,2660162.3,6261577.2
2007-11-01,2582593.5,5899203.4
2007-12-01,2653020.4,5368131.5
2008-01-01,2589269.4,5891070.0
2008-02-01,2424163.9,5334417.3
2008-03-01,2668296.6,5844382.4
2008-04-01,2539888.3,5363264.0
2008-05-01,2530247.2,5187830.4
2008-06-01,2378587.6,5613894.4
2008-07-01,2526018.2,6236885.7
2008-08-01,2538445.1,6355391.7
2008-09-01,2458040.1,5779555.8
2008-10-01,2555471.9,6021170.7
2008-11-01,2463236.5,6144194.3
2008-12-01,2462488.3,6259388.5
2009-01-01,2427019.1,6188192.4
2009-02-01,2222681.9,5899431.6
2009-03-01,2413559.6,6214096.0
2009-04-01,2311917.8,5631426.8
2009-05-01,2299602.8,6180852.7
2009-06-01,2219622.0,6488880.3
2009-07-01,2308707.2,7067458.0
2009-08-01,2319714.9,6849020.5
2009-09-01,2212676.0,6414893.1
2009-10-01,2284811.5,6952096.3
2009-11-01,2252494.5,7005668.5
2009-12-01,2259351.5,6560493.1
2010-01-01,2278535.3,5968168.2
2010-02-01,2108766.8,6238742.9
2010-03-01,2352116.8,6924355.2
2010-04-01,2245983.6,6700924.9
2010-05-01,2304554.8,7328029.1
2010-06-01,2192497.5,7340886.7
2010-07-01,2286966.9,7571798.3
2010-08-01,2310148.6,7486064.1
2010-09-01,2204683.1,6638169.8
2010-10-01,2333947.0,7195056.0
2010-11-01,2306025.0,7759823.0
2010-12-01,2410320.1,8218928.7
2011-01-01,2380002.7,7744551.1
2011-02-01,2188150.2,7148457.0
2011-03-01,2455478.1,7706970.7
2011-04-01,2395944.1,7445175.9
2011-05-01,2298500.5,6595892.6
2011-06-01,2219853.9,7248012.9
2011-07-01,2344236.1,8333780.3
2011-08-01,2432271.0,8773933.4
2011-09-01,2437164.3,8038588.3
2011-10-01,2594440.2,8500593.3
2011-11-01,2597544.5,8015631.6
2011-12-01,2791461.7,8699535.7
2012-01-01,2732441.0,8781010.4
2012-02-01,2619447.1,7956982.4
2012-03-01,2888108.6,7949891.1
2012-04-01,2753463.4,8197718.7
2012-05-01,2780625.7,8455655.8
2012-06-01,2613764.1,8342345.1
2012-07-01,2685879.5,9327507.2
2012-08-01,2715176.2,9228519.7
2012-09-01,2667676.6,8539397.0
2012-10-01,2851859.7,9044593.5
2012-11-01,2810820.2,8820338.2
2012-12-01,2951518.5,9902794.6
2013-01-01,2915192.0,9550096.0
2013-02-01,2715962.5,8597166.4
2013-03-01,3020869.1,9670964.1
2013-04-01,2922439.8,8664912.2
2013-05-01,2955266.7,7983656.4
2013-06-01,2790362.2,8635533.2
2013-07-01,2866765.6,9463548.1
2013-08-01,2904370.2,10341161.7
2013-09-01,2790922.6,9431723.4
2013-10-01,2944608.3,9978262.6
2013-11-01,2876720.9,10082113.1
2013-12-01,3013396.9,10607783.3
2014-01-01,2994975.3,10446214.4
2014-02-01,2727232.9,9331343.8
2014-03-01,3112810.9,10693056.1
2014-04-01,3029087.6,9891522.6
2014-05-01,3001481.2,9961027.9
2014-06-01,2877738.5,10180281.5
2014-07-01,2977729.8,10735825.9
2014-08-01,3017995.3,10745034.3
2014-09-01,2880356.2,10366186.3
2014-10-01,3024697.1,11343763.9
2014-11-01,2890350.8,10648232.8
2014-12-01,3045358.7,11336684.6
2015-01-01,2982698.3,11628537.9
2015-02-01,2681046.3,11011262.0
2015-03-01,2889093.0,11959256.9
2015-04-01,2727872.0,10300090.7
2015-05-01,2722692.4,9738078.7
2015-06-01,2555805.5,10656352.1
2015-07-01,2661151.8,12674885.3
2015-08-01,2618856.0,13232898.0
2015-09-01,2488144.0,10543736.8
2015-10-01,2572278.3,11849586.4
2015-11-01,2495741.4,12005731.0
2015-12-01,2552873.0,12612300.9
2016-01-01,2516116.9,12488415.4
2016-02-01,2295291.3,11594999.9
2016-03-01,2537561.1,12208942.7
2016-04-01,2401173.7,10330178.2
2016-05-01,2420363.6,7744318.7
2016-06-01,2357896.7,9177229.6
2016-07-01,2423625.1,12137980.0
2016-08-01,2380641.2,12767829.3
2016-09-01,2313272.0,12262825.9
2016-10-01,2312103.1,12989581.6
2016-11-01,2291035.3,13541955.7
2016-12-01,2372845.3,13230084.6
2017-01-01,2392279.9,13767925.9
2017-02-01,2192763.3,12602626.7
2017-03-01,2457699.7,12797993.5
2017-04-01,2393263.6,10882085.5
2017-05-01,2463488.3,11816106.7
2017-06-01,2391916.9,11900580.6
2017-07-01,2492208.0,13274094.9
2017-08-01,2455406.1,14330562.3
2017-09-01,2475729.6,12870313.8
2017-10-01,2598055.0,12728580.9
2017-11-01,2580596.9,13698899.3
2017-12-01,2675987.5,14505016.0
2018-01-01,2645574.0,13751022.9
2018-02-01,2415498.4,12879292.2
2018-03-01,2745919.0,14342122.6
2018-04-01,2743208.3,12349429.5
2018-05-01,2823943.9,13811779.8
2018-06-01,2706176.4,13465187.4
2018-07-01,2870091.1,14319566.5
2018-08-01,2982474.3,15395848.9
2018-09-01,2885799.6,13514191.1
2018-10-01,2991510.9,15062982.5
2018-11-01,2851147.9,14917863.1
2018-12-01,2894827.4,15225805.5
2019-01-01,2835456.0,13966728.0
2019-02-01,2503672.8,12794304.0
2019-03-01,2858713.6,14251801.7
2019-04-01,2814907.2,14154673.8
2019-05-01,2848100.5,13843963.5
2019-06-01,2689754.1,14196878.1
2019-07-01,2789658.0,14861765.4
2019-08-01,2817250.1,14985923.8
2019-09-01,2708799.9,14039449.6
2019-10-01,2802447.1,14242119.0
2019-11-01,2804337.8,14242021.6
2019-12-01,2910404.8,15504612.4
2020-01-01,2782871.0,14983601.1
2020-02-01,2724764.4,14135932.0
2020-03-01,2835731.6,14837905.8
2020-04-01,2306739.8,12458925.4
2020-05-01,1982695.1,12270285.3
2020-06-01,2164051.3,12660578.0
2020-07-01,2361594.6,12973088.9
2020-08-01,2435018.8,12564510.2
2020-09-01,2296290.8,12670770.4
2020-10-01,2443251.7,14007060.6
2020-11-01,2381602.6,15059901.4
2020-12-01,2453353.9,16293414.4
2021-01-01,2402786.0,16011452.4
2021-02-01,2104825.2,13794445.2
2021-03-01,2449490.5,15414115.9
2021-04-01,2441079.1,13334913.7
2021-05-01,2465878.5,14015231.7
2021-06-01,2353086.0,14789400.3
2021-07-01,2509504.0,15540330.4
2021-08-01,2583636.0,15206799.4
2021-09-01,2448761.2,14427837.6
2021-10-01,2636580.9,16280368.8
2021-11-01,2559598.3,15796937.9
2021-12-01,2591196.2,15382317.4
2022-01-01,2557260.0,14981798.9
2022-02-01,2400678.8,14248225.7
2022-03-01,2748895.4,15640911.4
2022-04-01,2774551.8,14557193.1
2022-05-01,2798060.9,14269945.5
2022-06-01,2710481.4,14340521.4
2022-07-01,2822694.7,15821898.1
2022-08-01,2878991.1,15950110.3
2022-09-01,2767608.5,15718093.8
2022-10-01,2937283.3,16003498.6
2022-11-01,2833080.2,16055696.1
2022-12-01,2866420.8,15904731.6
2023-01-01,2887665.8,15527430.5
2023-02-01,2639968.6,14468732.0
2023-03-01,2953218.6,16048312.0
2023-04-01,2860085.4,13963866.1
2023-05-01,2698071.5,14200446.8
2023-06-01,2665280.2,14608342.1
2023-07-01,2896592.7,16325459.3
2023-08-01,2957299.1,16188686.6
2023-09-01,2813190.5,15653722.3
2023-10-01,2954747.5,15860366.4
2023-11-01,2879351.5,16925120.2
2023-12-01,3032751.7,17603812.2
2024-01-01,2842753.4,15923564.4
2024-02-01,2813978.5,15418785.6
2024-03-01,3065322.8,16843475.3
2024-04-01,2953038.4,15775119.6
2024-05-01,3026526.5,15119196.2
2024-06-01,2902296.2,15641738.6
2024-07-01,3002514.8,16745104.3
2024-08-01,3096016.6,16831390.4
2024-09-01,2957691.9,15258489.6
2024-10-01,3205395.3,17377575.9
2024-11-01,3136128.8,16881392.8
2024-12-01,3210304.5,17766507.8
2025-01-01,3123735.7,17532598.5
2025-02-01,2807511.0,15073202.1
2025-03-01,3202869.0,17459781.0
2025-04-01,3154765.0,15931784.0
2025-05-01,3198378.1,14575264.7
2025-06-01,3029231.9,16331427.4
2025-07-01,3165066.6,18097645.3
2025-08-01,3183810.5,17662799.8
2025-09-01,3062725.8,17030025.6
2025-10-01,3211750.9,17172423.0
2025-11-01,3237304.0,17726115.1
2025-12-01,3246489.3,18460827.5
2026-01-01,3240700.9,17518453.6
2026-02-01,2949391.7,15527661.8
